CM059148.1	Trypanosoma cruzi	Trypanosoma cruzi isolate M05 mitochondrion, complete sequence, whole genome shotgun sequence
OQ339649.1	Canis lupus	Canis lupus isolate CLUPCN000003 mitochondrion, partial genome
OQ339648.1	Canis lupus	Canis lupus isolate CLUPCN000002 mitochondrion, partial genome
OQ339647.1	Canis lupus	Canis lupus isolate CLUPCN000001 mitochondrion, partial genome
OQ339646.1	Canis lupus	Canis lupus isolate CLUPAZ000001 mitochondrion, partial genome
NC_060652.1	Canis lupus signatus	Canis lupus signatus isolate Cl-H119 mitochondrion, complete genome
NC_060320.1	Pneumocystis canis	Pneumocystis canis mitochondrion, complete sequence
NC_010340.2	Canis lupus chanco	Canis lupus chanco mitochondrion, complete genome
NC_009686.1	Canis lupus lupus	Canis lupus lupus mitochondrion, complete genome
NC_008092.1	Canis lupus	Canis lupus mitochondrion, complete genome
NC_002008.4	Canis lupus familiaris	Canis lupus familiaris mitochondrion, complete genome
OQ184024.1	Rhipicephalus sanguineus	Rhipicephalus sanguineus isolate P8/22-208:JS6373 haplogroup temperate mitochondrion, complete genome
OQ184022.1	Rhipicephalus rutilus	Rhipicephalus rutilus isolate IZ12-T3:JS6028 haplogroup southeastern Europe mitochondrion, complete genome
OP476512.1	Canis lupus dingo	Canis lupus dingo isolate Cooinda mitochondrion, complete genome
OP716784.1	Canis lupus familiaris	Canis lupus familiaris isolate MS10109 mitochondrion, complete genome
OP716780.1	Canis lupus familiaris	Canis lupus familiaris isolate MS10104 mitochondrion, complete genome
OP716778.1	Canis lupus familiaris	Canis lupus familiaris isolate MS10102 mitochondrion, complete genome
OP716777.1	Canis lupus familiaris	Canis lupus familiaris isolate MS10100 mitochondrion, complete genome
OM994391.1	Rhipicephalus linnaei	Rhipicephalus linnaei isolate P1/22:20-2 mitochondrion, complete genome
OM994390.1	Rhipicephalus linnaei	Rhipicephalus linnaei isolate P1/22:20-1 mitochondrion, complete genome
OM994389.1	Rhipicephalus linnaei	Rhipicephalus linnaei isolate P1/22:17-1 mitochondrion, complete genome
OM994388.1	Rhipicephalus linnaei	Rhipicephalus linnaei isolate P1/22:6-1 mitochondrion, complete genome
OL614958.1	Ixodes cornuatus	Ixodes cornuatus voucher B5603 mitochondrion, complete genome
OK523384.1	Dipylidium caninum	Dipylidium caninum isolate Dcan_canine_FL1 mitochondrion, complete genome
MW916087.1	Canis lupus signatus	Canis lupus signatus isolate IberianWolf714 mitochondrion, complete genome
MW916086.1	Canis lupus signatus	Canis lupus signatus isolate Cl-H119 mitochondrion, complete genome
MW916085.1	Canis lupus signatus	Canis lupus signatus isolate Cl-H117 mitochondrion, complete genome
MW916084.1	Canis lupus signatus	Canis lupus signatus isolate Cl-H10 mitochondrion, complete genome
MW916083.1	Canis lupus familiaris	Canis lupus familiaris isolate LYEP53 mitochondrion, complete genome
MW916082.1	Canis lupus familiaris	Canis lupus familiaris isolate LYEP51 mitochondrion, partial genome
MW916081.1	Canis lupus familiaris	Canis lupus familiaris isolate LYEP11 mitochondrion, complete genome
MW916080.1	Canis lupus familiaris	Canis lupus familiaris isolate LYEP9 mitochondrion, complete genome
MW916079.1	Canis lupus signatus	Canis lupus signatus isolate LUP006830_SMLM25 mitochondrion, complete genome
MW916078.1	Canis lupus signatus	Canis lupus signatus isolate LUP006829_SMLM40 mitochondrion, complete genome
MW916077.1	Canis lupus familiaris	Canis lupus familiaris isolate eDogPT79 mitochondrion, complete genome
MW916076.1	Canis lupus familiaris	Canis lupus familiaris isolate eDogPT78 mitochondrion, complete genome
MW916075.1	Canis lupus familiaris	Canis lupus familiaris isolate eDogPT77 mitochondrion, complete genome
MW916074.1	Canis lupus familiaris	Canis lupus familiaris isolate eDogPT76 mitochondrion, complete genome
MW916073.1	Canis lupus familiaris	Canis lupus familiaris isolate eDogPT75 mitochondrion, complete genome
MW916072.1	Canis lupus familiaris	Canis lupus familiaris isolate eDogPT74 mitochondrion, complete genome
MW916071.1	Canis lupus familiaris	Canis lupus familiaris isolate eDogPT73 mitochondrion, complete genome
MW916070.1	Canis lupus familiaris	Canis lupus familiaris isolate eDogPT72 mitochondrion, complete genome
MW916069.1	Canis lupus familiaris	Canis lupus familiaris isolate eDogPT71 mitochondrion, complete genome
MW916068.1	Canis lupus familiaris	Canis lupus familiaris isolate eDogPT70 mitochondrion, complete genome
MW916067.1	Canis lupus familiaris	Canis lupus familiaris isolate eDogPT69 mitochondrion, complete genome
MW916066.1	Canis lupus familiaris	Canis lupus familiaris isolate eDogPT67 mitochondrion, complete genome
MW916065.1	Canis lupus familiaris	Canis lupus familiaris isolate eDogPT66 mitochondrion, complete genome
MW916064.1	Canis lupus familiaris	Canis lupus familiaris isolate eDogPT64 mitochondrion, complete genome
MW916063.1	Canis lupus familiaris	Canis lupus familiaris isolate eDogPT63 mitochondrion, complete genome
MW916062.1	Canis lupus familiaris	Canis lupus familiaris isolate eDogPT62 mitochondrion, complete genome
MW916061.1	Canis lupus familiaris	Canis lupus familiaris isolate eDogPT61 mitochondrion, complete genome
MW916060.1	Canis lupus familiaris	Canis lupus familiaris isolate eDogPT60 mitochondrion, complete genome
MW916059.1	Canis lupus familiaris	Canis lupus familiaris isolate eDogPT59 mitochondrion, complete genome
MW916058.1	Canis lupus familiaris	Canis lupus familiaris isolate eDogPT58 mitochondrion, complete genome
MW916057.1	Canis lupus familiaris	Canis lupus familiaris isolate eDogPT57 mitochondrion, complete genome
MW916056.1	Canis lupus familiaris	Canis lupus familiaris isolate eDogPT56 mitochondrion, complete genome
MW916055.1	Canis lupus familiaris	Canis lupus familiaris isolate eDogPT55 mitochondrion, complete genome
MW916054.1	Canis lupus familiaris	Canis lupus familiaris isolate eDogPT54 mitochondrion, complete genome
MW916053.1	Canis lupus familiaris	Canis lupus familiaris isolate eDogPT53 mitochondrion, complete genome
MW916052.1	Canis lupus familiaris	Canis lupus familiaris isolate eDogPT52 mitochondrion, complete genome
MW916051.1	Canis lupus familiaris	Canis lupus familiaris isolate eDogPT51 mitochondrion, complete genome
