CM059148.1	Trypanosoma cruzi	Trypanosoma cruzi isolate M05 mitochondrion, complete sequence, whole genome shotgun sequence
EU408265.1	Canis lupus familiaris	Canis lupus familiaris isolate Corgi2P mitochondrion, complete genome
EU408264.1	Canis lupus familiaris	Canis lupus familiaris isolate CairnTerrier4P mitochondrion, complete genome
EU408263.1	Canis lupus familiaris	Canis lupus familiaris isolate CavalierKingCharlesSpaniel9P mitochondrion, complete genome
EU408262.1	Canis lupus familiaris	Canis lupus familiaris isolate Chihuahua5P mitochondrion, complete genome
EU408261.1	Canis lupus familiaris	Canis lupus familiaris isolate Chihuahua11M mitochondrion, complete genome
EU408260.1	Canis lupus familiaris	Canis lupus familiaris isolate CardiganCorgi2P mitochondrion, complete genome
EU408259.1	Canis lupus familiaris	Canis lupus familiaris isolate Cockapoo3M mitochondrion, complete genome
EU408258.1	Canis lupus familiaris	Canis lupus familiaris isolate Cockapoo1M mitochondrion, complete genome
EU408257.1	Canis lupus familiaris	Canis lupus familiaris isolate BrittanySpaniel1M mitochondrion, complete genome
EU408256.1	Canis lupus familiaris	Canis lupus familiaris isolate BassetHound4P mitochondrion, complete genome
EU408255.1	Canis lupus familiaris	Canis lupus familiaris isolate BassetHound3P mitochondrion, complete genome
EU408254.1	Canis lupus familiaris	Canis lupus familiaris isolate BassetHound2P mitochondrion, complete genome
EU408253.1	Canis lupus familiaris	Canis lupus familiaris isolate Boxer6P mitochondrion, complete genome
EU408252.1	Canis lupus familiaris	Canis lupus familiaris isolate Bolognese1P mitochondrion, complete genome
EU408251.1	Canis lupus familiaris	Canis lupus familiaris isolate BlueHeeler1P mitochondrion, complete genome
EU408250.1	Canis lupus familiaris	Canis lupus familiaris isolate BichonFrise3P mitochondrion, complete genome
EU408249.1	Canis lupus familiaris	Canis lupus familiaris isolate AustralianShepherd7P mitochondrion, complete genome
EU408248.1	Canis lupus familiaris	Canis lupus familiaris isolate AustralianShepherd1P mitochondrion, complete genome
EU408247.1	Canis lupus familiaris	Canis lupus familiaris isolate AustralianTerrier1P mitochondrion, complete genome
EU408246.1	Canis lupus familiaris	Canis lupus familiaris isolate AmericanCockerSpaniel1P mitochondrion, complete genome
EU408245.1	Canis lupus familiaris	Canis lupus familiaris isolate Akita1P mitochondrion, complete genome
MK948871.1	Canis lupus orion	Canis lupus orion mitochondrion, complete genome
MH891616.1	Canis lupus	Canis lupus isolate Sicily mitochondrion, complete genome
MH746950.1	Canis lupus lupus	Canis lupus lupus mitochondrion, complete genome
CM016608.1	Canis lupus familiaris	Canis lupus familiaris isolate Zoey breed Great Dane mitochondrion, complete sequence, whole genome shotgun sequence
MK214285.1	Hepatozoon canis	Hepatozoon canis isolate 9992 cytochrome b (cytB) pseudogene, complete sequence; mitochondrial
MK214284.1	Hepatozoon canis	Hepatozoon canis isolate 9992 cytochrome B-2 gene, complete cds; mitochondrial
MK214283.1	Hepatozoon canis	Hepatozoon canis isolate 9992 cytochrome B-1 gene, complete cds; mitochondrial
MK214282.1	Hepatozoon canis	Hepatozoon canis isolate 9992 cytochrome c oxidase subunit III gene, complete cds; mitochondrial
MH615005.1	Hepatozoon canis	Hepatozoon canis isolate 9992 small subunit ribosomal RNA, large subunit ribosomal RNA, and small subunit ribosomal RNA genes, complete sequence; mitochondrial
MH615004.1	Hepatozoon canis	Hepatozoon canis isolate 9992 large subunit ribosomal RNA genes, complete sequence; mitochondrial
MH615003.1	Hepatozoon canis	Hepatozoon canis isolate 9992 large subunit ribosomal RNA and small subunit ribosomal RNA genes, complete sequence; mitochondrial
MH615002.1	Hepatozoon canis	Hepatozoon canis isolate 9992 cytochrome c oxidase subunit I gene, complete cds; mitochondrial
MH557087.1	Hepatozoon canis	Hepatozoon canis cytochrome c oxidase subunit I (COI) gene, complete cds; mitochondrial
CM010318.1	Taenia multiceps	Taenia multiceps isolate Gns01 mitochondrion, complete sequence, whole genome shotgun sequence
MH105047.1	Canis lupus familiaris	Canis lupus familiaris isolate BORE-BR7296 mitochondrion, complete genome
MH105046.1	Canis lupus familiaris	Canis lupus familiaris isolate GREY-RJB/15/02524 mitochondrion, complete genome
MH035676.1	Canis lupus dingo	Canis lupus dingo isolate DW mitochondrion, complete genome
MH035675.1	Canis lupus dingo	Canis lupus dingo isolate DY mitochondrion, complete genome
MH035674.1	Canis lupus dingo	Canis lupus dingo isolate DB mitochondrion, complete genome
MH035673.1	Canis lupus dingo	Canis lupus dingo isolate DK mitochondrion, complete genome
KY798508.1	Canis lupus familiaris	Canis lupus familiaris isolate MS10665 mitochondrion, complete genome
EU442884.2	Canis lupus chanco	Canis lupus chanco mitochondrion, complete genome
MF774099.1	Canis lupus dingo	Canis lupus dingo voucher Dubbo NADH dehydrogenase subunit 6 (ND6) gene, partial cds; tRNA-Gly gene, complete sequence; and cytochrome b (CYTB) gene, partial cds; mitochondrial
MF774098.1	Canis lupus dingo	Canis lupus dingo voucher Southeastern35 NADH dehydrogenase subunit 6 (ND6) gene, partial cds; tRNA-Gly gene, complete sequence; and cytochrome b (CYTB) gene, partial cds; mitochondrial
MF774097.1	Canis lupus dingo	Canis lupus dingo voucher Southeastern26 NADH dehydrogenase subunit 6 (ND6) gene, partial cds; tRNA-Gly gene, complete sequence; and cytochrome b (CYTB) gene, partial cds; mitochondrial
MF774096.1	Canis lupus dingo	Canis lupus dingo voucher CentralAustralia14 NADH dehydrogenase subunit 6 (ND6) gene, partial cds; tRNA-Gly gene, complete sequence; and cytochrome b (CYTB) gene, partial cds; mitochondrial
MF774095.1	Canis lupus dingo	Canis lupus dingo voucher CentralAustralia12 NADH dehydrogenase subunit 6 (ND6) gene, partial cds; tRNA-Gly gene, complete sequence; and cytochrome b (CYTB) gene, partial cds; mitochondrial
MF774094.1	Canis lupus dingo	Canis lupus dingo voucher Southeastern38 NADH dehydrogenase subunit 6 (ND6) gene, partial cds; tRNA-Gly gene, complete sequence; and cytochrome b (CYTB) gene, partial cds; mitochondrial
MF774093.1	Canis lupus dingo	Canis lupus dingo voucher Northwestern19 NADH dehydrogenase subunit 6 (ND6) gene, partial cds; tRNA-Gly gene, complete sequence; and cytochrome b (CYTB) gene, partial cds; mitochondrial
MF774092.1	Canis lupus dingo	Canis lupus dingo voucher CentralAustralia7 NADH dehydrogenase subunit 6 (ND6) gene, partial cds; tRNA-Gly gene, complete sequence; and cytochrome b (CYTB) gene, partial cds; mitochondrial
MF774091.1	Canis lupus dingo	Canis lupus dingo voucher Southeastern16 NADH dehydrogenase subunit 6 (ND6) gene, partial cds; tRNA-Gly gene, complete sequence; and cytochrome b (CYTB) gene, partial cds; mitochondrial
MF774090.1	Canis lupus dingo	Canis lupus dingo voucher Dubbo cytochrome c oxidase subunit II (COX2) gene, partial cds; tRNA-Lys gene, complete sequence; ATP synthase F0 subunit 8 (ATP8) gene, complete cds; and ATP synthase F0 subunit 6 (ATP6) gene, partial cds; mitochondrial
MF774089.1	Canis lupus dingo	Canis lupus dingo voucher Southeastern35 cytochrome c oxidase subunit II (COX2) gene, partial cds; tRNA-Lys gene, complete sequence; ATP synthase F0 subunit 8 (ATP8) gene, complete cds; and ATP synthase F0 subunit 6 (ATP6) gene, partial cds; mitochondrial
MF774088.1	Canis lupus dingo	Canis lupus dingo voucher Southeastern26 cytochrome c oxidase subunit II (COX2) gene, partial cds; tRNA-Lys gene, complete sequence; ATP synthase F0 subunit 8 (ATP8) gene, complete cds; and ATP synthase F0 subunit 6 (ATP6) gene, partial cds; mitochondrial
MF774087.1	Canis lupus dingo	Canis lupus dingo voucher CentralAustralia14 cytochrome c oxidase subunit II (COX2) gene, partial cds; tRNA-Lys gene, complete sequence; ATP synthase F0 subunit 8 (ATP8) gene, complete cds; and ATP synthase F0 subunit 6 (ATP6) gene, partial cds; mitochondrial
MF774086.1	Canis lupus dingo	Canis lupus dingo voucher CentralAustralia12 cytochrome c oxidase subunit II (COX2) gene, partial cds; tRNA-Lys gene, complete sequence; ATP synthase F0 subunit 8 (ATP8) gene, complete cds; and ATP synthase F0 subunit 6 (ATP6) gene, partial cds; mitochondrial
MF774085.1	Canis lupus dingo	Canis lupus dingo voucher Southeastern38 cytochrome c oxidase subunit II (COX2) gene, partial cds; tRNA-Lys gene, complete sequence; ATP synthase F0 subunit 8 (ATP8) gene, complete cds; and ATP synthase F0 subunit 6 (ATP6) gene, partial cds; mitochondrial
MF774084.1	Canis lupus dingo	Canis lupus dingo voucher Northwestern19 cytochrome c oxidase subunit II (COX2) gene, partial cds; tRNA-Lys gene, complete sequence; ATP synthase F0 subunit 8 (ATP8) gene, complete cds; and ATP synthase F0 subunit 6 (ATP6) gene, partial cds; mitochondrial
MF774083.1	Canis lupus dingo	Canis lupus dingo voucher CentralAustralia7 cytochrome c oxidase subunit II (COX2) gene, partial cds; tRNA-Lys gene, complete sequence; ATP synthase F0 subunit 8 (ATP8) gene, complete cds; and ATP synthase F0 subunit 6 (ATP6) gene, partial cds; mitochondrial
MF774082.1	Canis lupus dingo	Canis lupus dingo voucher Southeastern16 cytochrome c oxidase subunit II (COX2) gene, partial cds; tRNA-Lys gene, complete sequence; ATP synthase F0 subunit 8 (ATP8) gene, complete cds; and ATP synthase F0 subunit 6 (ATP6) gene, partial cds; mitochondrial
KY659812.1	Canis lupus familiaris	Canis lupus familiaris isolate 1381T_1A2b_Clade_1_China mitochondrion, complete genome
KY659811.1	Canis lupus familiaris	Canis lupus familiaris isolate 1380T_1A2b2_Clade_1_China mitochondrion, complete genome
KX379529.1	Canis lupus familiaris	Canis lupus familiaris isolate HXHdog mitochondrion, complete genome
KX379528.1	Canis lupus familiaris	Canis lupus familiaris isolate CTCdog mitochondrion, complete genome
KT901460.1	Canis lupus	Canis lupus mitochondrion, complete genome
KU696410.1	Canis lupus	Canis lupus isolate Can11 mitochondrion, complete genome
KU696408.1	Canis lupus	Canis lupus isolate Can8 mitochondrion, complete genome
KU696407.1	Canis lupus	Canis lupus isolate Can9 mitochondrion, complete genome
KU696406.1	Canis lupus	Canis lupus isolate Can7 mitochondrion, complete genome
KU696405.1	Canis lupus	Canis lupus isolate Can6 mitochondrion, complete genome
KU696404.1	Canis lupus	Canis lupus isolate Can5 mitochondrion, complete genome
KU696403.1	Canis lupus	Canis lupus isolate Can4 mitochondrion, complete genome
KU696402.1	Canis lupus	Canis lupus isolate Can3 mitochondrion, complete genome
KU696400.1	Canis lupus	Canis lupus isolate Can1 mitochondrion, complete genome
KU696397.1	Canis lupus	Canis lupus isolate Ukraine mitochondrion, complete genome
KU696396.1	Canis lupus	Canis lupus isolate Mongolia5 mitochondrion, complete genome
KU696395.1	Canis lupus	Canis lupus isolate Mongolia4 mitochondrion, complete genome
KU696394.1	Canis lupus	Canis lupus isolate Mongolia3 mitochondrion, complete genome
KU696392.1	Canis lupus	Canis lupus isolate Mongolia1 mitochondrion, complete genome
KU696390.1	Canis lupus	Canis lupus isolate Bel13_Belarus mitochondrion, complete genome
KU644671.1	Canis lupus	Canis lupus isolate IranianWolf2 mitochondrion, complete genome
KU644670.1	Canis lupus	Canis lupus isolate SpanishWolf2 mitochondrion, complete genome
KU644669.1	Canis lupus	Canis lupus isolate ChineseWolf5 mitochondrion, complete genome
KU644668.1	Canis lupus	Canis lupus isolate PortugueseWolf mitochondrion, complete genome
KU644667.1	Canis lupus	Canis lupus isolate YellowstoneWolfA mitochondrion, complete genome
KU644666.1	Canis lupus	Canis lupus isolate IndianWolf2 mitochondrion, complete genome
KU644665.1	Canis lupus	Canis lupus isolate YellowstoneWolfB mitochondrion, complete genome
KU644664.1	Canis lupus	Canis lupus isolate MexicanWolfA mitochondrion, complete genome
KU644663.1	Canis lupus	Canis lupus isolate YellowstoneWolfC mitochondrion, complete genome
KU644662.1	Canis lupus	Canis lupus isolate ItalianWolf2 mitochondrion, complete genome
KU644661.1	Canis lupus	Canis lupus isolate MexicanWolfB mitochondrion, complete genome
EU789788.1	Canis lupus	Canis lupus isolate W5_9809 mitochondrion, complete genome
EU789787.1	Canis lupus	Canis lupus isolate W2_9805 mitochondrion, complete genome
EU789786.1	Canis lupus familiaris	Canis lupus familiaris isolate C15_D1 mitochondrion, complete genome
EU789785.1	Canis lupus familiaris	Canis lupus familiaris isolate B8_D2 mitochondrion, complete genome
EU789784.1	Canis lupus familiaris	Canis lupus familiaris isolate A163_D3 mitochondrion, complete genome
EU789783.1	Canis lupus familiaris	Canis lupus familiaris isolate D8_D14 mitochondrion, complete genome
EU789782.1	Canis lupus familiaris	Canis lupus familiaris isolate C3_D5 mitochondrion, complete genome
EU789781.1	Canis lupus familiaris	Canis lupus familiaris isolate B1_D6 mitochondrion, complete genome
EU789780.1	Canis lupus familiaris	Canis lupus familiaris isolate A18_D7 mitochondrion, complete genome
EU789779.1	Canis lupus familiaris	Canis lupus familiaris isolate A26_D8 mitochondrion, complete genome
EU789778.1	Canis lupus familiaris	Canis lupus familiaris isolate A2_D9 mitochondrion, complete genome
EU789777.1	Canis lupus familiaris	Canis lupus familiaris isolate A17_D10 mitochondrion, complete genome
EU789776.1	Canis lupus familiaris	Canis lupus familiaris isolate A29_D11 mitochondrion, complete genome
EU789775.1	Canis lupus familiaris	Canis lupus familiaris isolate B1_D12 mitochondrion, complete genome
EU789774.1	Canis lupus familiaris	Canis lupus familiaris isolate C3_D13 mitochondrion, complete genome
EU789773.1	Canis lupus familiaris	Canis lupus familiaris isolate D3_D4 mitochondrion, complete genome
EU789772.1	Canis lupus familiaris	Canis lupus familiaris isolate C14_PS122 mitochondrion, complete genome
EU789771.1	Canis lupus familiaris	Canis lupus familiaris isolate A78_M216 mitochondrion, complete genome
EU789770.1	Canis lupus familiaris	Canis lupus familiaris isolate A11_Z264 mitochondrion, complete genome
EU789769.1	Canis lupus familiaris	Canis lupus familiaris isolate B6_Z217 mitochondrion, complete genome
EU789768.1	Canis lupus familiaris	Canis lupus familiaris isolate A129_m289 mitochondrion, complete genome
EU789767.1	Canis lupus familiaris	Canis lupus familiaris isolate A78_M212 mitochondrion, complete genome
EU789766.1	Canis lupus familiaris	Canis lupus familiaris isolate C1_Z206 mitochondrion, complete genome
EU789765.1	Canis lupus familiaris	Canis lupus familiaris isolate A20_Z109 mitochondrion, complete genome
EU789764.1	Canis lupus familiaris	Canis lupus familiaris isolate C3_Z171 mitochondrion, complete genome
EU789763.1	Canis lupus familiaris	Canis lupus familiaris isolate C3_Z105 mitochondrion, complete genome
EU789762.1	Canis lupus familiaris	Canis lupus familiaris isolate C2_JD18 mitochondrion, complete genome
EU789761.1	Canis lupus familiaris	Canis lupus familiaris isolate B2_PS121 mitochondrion, complete genome
EU789760.1	Canis lupus familiaris	Canis lupus familiaris isolate C2_Z107 mitochondrion, complete genome
EU789759.1	Canis lupus familiaris	Canis lupus familiaris isolate A5_Z28 mitochondrion, complete genome
EU789758.1	Canis lupus familiaris	Canis lupus familiaris isolate B2_Z254 mitochondrion, complete genome
EU789757.1	Canis lupus familiaris	Canis lupus familiaris isolate B32_m474 mitochondrion, complete genome
EU789756.1	Canis lupus familiaris	Canis lupus familiaris isolate A154_m667 mitochondrion, complete genome
EU789755.1	Canis lupus familiaris	Canis lupus familiaris isolate A64_Z134 mitochondrion, complete genome
EU789754.1	Canis lupus familiaris	Canis lupus familiaris isolate A158_Z369 mitochondrion, complete genome
EU789753.1	Canis lupus familiaris	Canis lupus familiaris isolate C5_9839 mitochondrion, complete genome
EU789752.1	Canis lupus familiaris	Canis lupus familiaris isolate C12_9928 mitochondrion, complete genome
EU789751.1	Canis lupus familiaris	Canis lupus familiaris isolate C12_10017 mitochondrion, complete genome
EU789750.1	Canis lupus familiaris	Canis lupus familiaris isolate C3_10061 mitochondrion, complete genome
EU789749.1	Canis lupus familiaris	Canis lupus familiaris isolate C3_10057 mitochondrion, complete genome
EU789748.1	Canis lupus familiaris	Canis lupus familiaris isolate C3_10051 mitochondrion, complete genome
EU789747.1	Canis lupus familiaris	Canis lupus familiaris isolate C3_9985 mitochondrion, complete genome
EU789746.1	Canis lupus familiaris	Canis lupus familiaris isolate C3_10159 mitochondrion, complete genome
EU789745.1	Canis lupus familiaris	Canis lupus familiaris isolate A117_10165 mitochondrion, complete genome
EU789744.1	Canis lupus familiaris	Canis lupus familiaris isolate A9_10075 mitochondrion, complete genome
EU789743.1	Canis lupus familiaris	Canis lupus familiaris isolate A9_10197 mitochondrion, complete genome
EU789742.1	Canis lupus familiaris	Canis lupus familiaris isolate A2_m290 mitochondrion, complete genome
EU789741.1	Canis lupus familiaris	Canis lupus familiaris isolate A74_10137 mitochondrion, complete genome
EU789740.1	Canis lupus familiaris	Canis lupus familiaris isolate A11_10196 mitochondrion, complete genome
EU789739.1	Canis lupus familiaris	Canis lupus familiaris isolate B29_10175 mitochondrion, complete genome
EU789738.1	Canis lupus familiaris	Canis lupus familiaris isolate A136_10124 mitochondrion, complete genome
EU789737.1	Canis lupus familiaris	Canis lupus familiaris isolate A18_m257 mitochondrion, complete genome
EU789736.1	Canis lupus familiaris	Canis lupus familiaris isolate A18_m261 mitochondrion, complete genome
EU789735.1	Canis lupus familiaris	Canis lupus familiaris isolate A11_m54 mitochondrion, complete genome
EU789734.1	Canis lupus familiaris	Canis lupus familiaris isolate A94_10006 mitochondrion, complete genome
EU789733.1	Canis lupus familiaris	Canis lupus familiaris isolate A27_m50 mitochondrion, complete genome
EU789732.1	Canis lupus familiaris	Canis lupus familiaris isolate A18_m49 mitochondrion, complete genome
EU789731.1	Canis lupus familiaris	Canis lupus familiaris isolate A11_9987 mitochondrion, complete genome
EU789730.1	Canis lupus familiaris	Canis lupus familiaris isolate A11_9997 mitochondrion, complete genome
EU789729.1	Canis lupus familiaris	Canis lupus familiaris isolate A18_10106 mitochondrion, complete genome
EU789728.1	Canis lupus familiaris	Canis lupus familiaris isolate A16_R108 mitochondrion, complete genome
EU789727.1	Canis lupus familiaris	Canis lupus familiaris isolate A16_10222 mitochondrion, complete genome
EU789726.1	Canis lupus familiaris	Canis lupus familiaris isolate A109_9940 mitochondrion, complete genome
EU789725.1	Canis lupus familiaris	Canis lupus familiaris isolate A15_5884 mitochondrion, complete genome
EU789724.1	Canis lupus familiaris	Canis lupus familiaris isolate A100_10092 mitochondrion, complete genome
EU789723.1	Canis lupus familiaris	Canis lupus familiaris isolate A20_9947 mitochondrion, complete genome
EU789722.1	Canis lupus familiaris	Canis lupus familiaris isolate A89_5918 mitochondrion, complete genome
EU789721.1	Canis lupus familiaris	Canis lupus familiaris isolate A17_10112 mitochondrion, complete genome
EU789720.1	Canis lupus familiaris	Canis lupus familiaris isolate A19_m55 mitochondrion, complete genome
EU789719.1	Canis lupus familiaris	Canis lupus familiaris isolate A18_m260 mitochondrion, complete genome
EU789718.1	Canis lupus familiaris	Canis lupus familiaris isolate A18_Y85 mitochondrion, complete genome
EU789717.1	Canis lupus familiaris	Canis lupus familiaris isolate A3_5880 mitochondrion, complete genome
EU789716.1	Canis lupus familiaris	Canis lupus familiaris isolate A93_10083 mitochondrion, complete genome
EU789715.1	Canis lupus familiaris	Canis lupus familiaris isolate A51_10079 mitochondrion, complete genome
EU789714.1	Canis lupus familiaris	Canis lupus familiaris isolate A34_R34 mitochondrion, complete genome
EU789713.1	Canis lupus familiaris	Canis lupus familiaris isolate A33_p11 mitochondrion, complete genome
EU789712.1	Canis lupus familiaris	Canis lupus familiaris isolate A41_m300 mitochondrion, complete genome
EU789711.1	Canis lupus familiaris	Canis lupus familiaris isolate A19_m52 mitochondrion, complete genome
EU789710.1	Canis lupus familiaris	Canis lupus familiaris isolate A91_10095 mitochondrion, complete genome
EU789709.1	Canis lupus familiaris	Canis lupus familiaris isolate A36_R74 mitochondrion, complete genome
EU789708.1	Canis lupus familiaris	Canis lupus familiaris isolate A19_m47 mitochondrion, complete genome
EU789707.1	Canis lupus familiaris	Canis lupus familiaris isolate A22_10087 mitochondrion, complete genome
EU789706.1	Canis lupus familiaris	Canis lupus familiaris isolate A30_R51 mitochondrion, complete genome
EU789705.1	Canis lupus familiaris	Canis lupus familiaris isolate A19_m51 mitochondrion, complete genome
EU789704.1	Canis lupus familiaris	Canis lupus familiaris isolate A99_10028 mitochondrion, complete genome
EU789703.1	Canis lupus familiaris	Canis lupus familiaris isolate A25_m46 mitochondrion, complete genome
EU789702.1	Canis lupus familiaris	Canis lupus familiaris isolate A148_9918 mitochondrion, complete genome
EU789701.1	Canis lupus familiaris	Canis lupus familiaris isolate A149_10055 mitochondrion, complete genome
EU789700.1	Canis lupus familiaris	Canis lupus familiaris isolate A25_m45 mitochondrion, complete genome
EU789699.1	Canis lupus familiaris	Canis lupus familiaris isolate A125_5866 mitochondrion, complete genome
EU789698.1	Canis lupus familiaris	Canis lupus familiaris isolate A21_m53 mitochondrion, complete genome
EU789697.1	Canis lupus familiaris	Canis lupus familiaris isolate A26_p39 mitochondrion, complete genome
EU789696.1	Canis lupus familiaris	Canis lupus familiaris isolate A102_5955 mitochondrion, complete genome
EU789695.1	Canis lupus familiaris	Canis lupus familiaris isolate A38_5895 mitochondrion, complete genome
EU789694.1	Canis lupus familiaris	Canis lupus familiaris isolate A45_m23 mitochondrion, complete genome
EU789693.1	Canis lupus familiaris	Canis lupus familiaris isolate A84_10022 mitochondrion, complete genome
EU789692.1	Canis lupus familiaris	Canis lupus familiaris isolate A86_5885 mitochondrion, complete genome
EU789691.1	Canis lupus familiaris	Canis lupus familiaris isolate A59_5703 mitochondrion, complete genome
EU789690.1	Canis lupus familiaris	Canis lupus familiaris isolate A55_9919 mitochondrion, complete genome
EU789689.1	Canis lupus familiaris	Canis lupus familiaris isolate A2_m215 mitochondrion, complete genome
EU789688.1	Canis lupus familiaris	Canis lupus familiaris isolate A92_5947 mitochondrion, complete genome
EU789687.1	Canis lupus familiaris	Canis lupus familiaris isolate A49_5912 mitochondrion, complete genome
EU789686.1	Canis lupus familiaris	Canis lupus familiaris isolate A10_p13 mitochondrion, complete genome
EU789685.1	Canis lupus familiaris	Canis lupus familiaris isolate A39_5929 mitochondrion, complete genome
EU789684.1	Canis lupus familiaris	Canis lupus familiaris isolate A87_5883 mitochondrion, complete genome
EU789683.1	Canis lupus familiaris	Canis lupus familiaris isolate A1_R105 mitochondrion, complete genome
EU789682.1	Canis lupus familiaris	Canis lupus familiaris isolate A122_m266 mitochondrion, complete genome
EU789681.1	Canis lupus familiaris	Canis lupus familiaris isolate A103_10002 mitochondrion, complete genome
EU789680.1	Canis lupus familiaris	Canis lupus familiaris isolate A44_10003 mitochondrion, complete genome
EU789679.1	Canis lupus familiaris	Canis lupus familiaris isolate A43_p36 mitochondrion, complete genome
EU789678.1	Canis lupus familiaris	Canis lupus familiaris isolate A105_10059 mitochondrion, complete genome
EU789677.1	Canis lupus familiaris	Canis lupus familiaris isolate A119_m288 mitochondrion, complete genome
EU789676.1	Canis lupus familiaris	Canis lupus familiaris isolate A85_5863 mitochondrion, complete genome
EU789675.1	Canis lupus familiaris	Canis lupus familiaris isolate A73_9996 mitochondrion, complete genome
EU789674.1	Canis lupus familiaris	Canis lupus familiaris isolate A29_10100 mitochondrion, complete genome
EU789673.1	Canis lupus familiaris	Canis lupus familiaris isolate A75_m286 mitochondrion, complete genome
EU789672.1	Canis lupus familiaris	Canis lupus familiaris isolate A106_10204 mitochondrion, complete genome
EU789671.1	Canis lupus familiaris	Canis lupus familiaris isolate A114_10019 mitochondrion, complete genome
EU789670.1	Canis lupus familiaris	Canis lupus familiaris isolate A116_10253 mitochondrion, complete genome
EU789669.1	Canis lupus familiaris	Canis lupus familiaris isolate A65_5959 mitochondrion, complete genome
EU789668.1	Canis lupus familiaris	Canis lupus familiaris isolate A130_10090 mitochondrion, complete genome
EU789667.1	Canis lupus familiaris	Canis lupus familiaris isolate A97_10073 mitochondrion, complete genome
EU789666.1	Canis lupus familiaris	Canis lupus familiaris isolate A141_10136 mitochondrion, complete genome
EU789665.1	Canis lupus familiaris	Canis lupus familiaris isolate A110_10096 mitochondrion, complete genome
EU789664.1	Canis lupus familiaris	Canis lupus familiaris isolate A65_m276 mitochondrion, complete genome
EU789663.1	Canis lupus familiaris	Canis lupus familiaris isolate A8_5899 mitochondrion, complete genome
EU789662.1	Canis lupus familiaris	Canis lupus familiaris isolate E1_p77 mitochondrion, complete genome
EU789661.1	Canis lupus familiaris	Canis lupus familiaris isolate C2_10069 mitochondrion, complete genome
EU789660.1	Canis lupus familiaris	Canis lupus familiaris isolate C10_10216 mitochondrion, complete genome
EU789659.1	Canis lupus familiaris	Canis lupus familiaris isolate C1_5800 mitochondrion, complete genome
EU789658.1	Canis lupus familiaris	Canis lupus familiaris isolate C1_m40 mitochondrion, complete genome
EU789657.1	Canis lupus familiaris	Canis lupus familiaris isolate C7_5796 mitochondrion, complete genome
EU789656.1	Canis lupus familiaris	Canis lupus familiaris isolate D1_R53 mitochondrion, complete genome
EU789655.1	Canis lupus familiaris	Canis lupus familiaris isolate D6_R33 mitochondrion, complete genome
EU789654.1	Canis lupus familiaris	Canis lupus familiaris isolate D5_m98 mitochondrion, complete genome
EU789653.1	Canis lupus familiaris	Canis lupus familiaris isolate B1_m48 mitochondrion, complete genome
EU789652.1	Canis lupus familiaris	Canis lupus familiaris isolate B1_m510 mitochondrion, complete genome
EU789651.1	Canis lupus familiaris	Canis lupus familiaris isolate B23_5890 mitochondrion, complete genome
EU789650.1	Canis lupus familiaris	Canis lupus familiaris isolate B9_10068 mitochondrion, complete genome
EU789649.1	Canis lupus familiaris	Canis lupus familiaris isolate B1_9910 mitochondrion, complete genome
EU789648.1	Canis lupus familiaris	Canis lupus familiaris isolate B24_10172 mitochondrion, complete genome
EU789647.1	Canis lupus familiaris	Canis lupus familiaris isolate B22_5913 mitochondrion, complete genome
EU789646.1	Canis lupus familiaris	Canis lupus familiaris isolate B1_5810 mitochondrion, complete genome
EU789645.1	Canis lupus familiaris	Canis lupus familiaris isolate B1_10005 mitochondrion, complete genome
EU789644.1	Canis lupus familiaris	Canis lupus familiaris isolate B6_9908 mitochondrion, complete genome
EU789643.1	Canis lupus familiaris	Canis lupus familiaris isolate B1_5898 mitochondrion, complete genome
EU789642.1	Canis lupus familiaris	Canis lupus familiaris isolate B1_5814 mitochondrion, complete genome
EU789641.1	Canis lupus familiaris	Canis lupus familiaris isolate B30_5914 mitochondrion, complete genome
EU789640.1	Canis lupus familiaris	Canis lupus familiaris isolate B5_5938 mitochondrion, complete genome
EU789639.1	Canis lupus familiaris	Canis lupus familiaris isolate B13_5805 mitochondrion, complete genome
EU789638.1	Canis lupus familiaris	Canis lupus familiaris isolate B28_5882 mitochondrion, complete genome
DQ480508.1	Canis lupus	Canis lupus isolate 1 from Canada mitochondrion, complete genome
DQ480507.1	Canis lupus	Canis lupus isolate 2 from Saudi Arabia mitochondrion, complete genome
DQ480506.1	Canis lupus	Canis lupus isolate 1 from Saudi Arabia mitochondrion, complete genome
DQ480505.1	Canis lupus	Canis lupus isolate 1 from Spain mitochondrion, complete genome
DQ480504.1	Canis lupus	Canis lupus isolate 1 from Sweden mitochondrion, complete genome
DQ480503.1	Canis lupus	Canis lupus isolate 1 from Russia mitochondrion, complete genome
DQ480502.1	Canis lupus familiaris	Canis lupus familiaris isolate 2 breed Jamthund from Sweden mitochondrion, complete genome
DQ480501.1	Canis lupus familiaris	Canis lupus familiaris isolate 1 breed Swedish Elkhound from Sweden mitochondrion, complete genome
DQ480500.1	Canis lupus familiaris	Canis lupus familiaris isolate 1 breed Shetland Sheepdog from Sweden mitochondrion, complete genome
DQ480499.1	Canis lupus familiaris	Canis lupus familiaris isolate 1 breed Siberian Husky from Sweden mitochondrion, complete genome
DQ480498.1	Canis lupus familiaris	Canis lupus familiaris isolate 1 breed Miniature Schnauzer from Sweden mitochondrion, complete genome
